Subject,Start Date,Category
วันขึ้นปีใหม่,2020-01-01,holiday
วันเด็ก,2020-01-11,festival
วันมาฆบูชา,2020-02-08,holiday
วันหยุดชดเชย,2020-02-10,holiday
วาเลนไทน์,2020-02-14,festival
วันจักรี,2020-04-06,holiday
สงกรานต์,2020-04-13,holiday
สงกรานต์,2020-04-14,holiday
สงกรานต์,2020-04-15,holiday
วันแรงงาน (เอกชน),2020-05-01,holiday
วันฉัตรมงคล,2020-05-04,holiday
วันวิสาขบูชา,2020-05-06,holiday
วันพืชมงคล (ราชการ),2020-05-11,holiday
วันเฉลิมฯ พระบรมราชินี,2020-06-03,holiday
วันอาสาฬหบูชา,2020-07-05,holiday
วันเข้าพรรษา (ราชการ),2020-07-06,holiday
วันหยุดชดเชย,2020-07-07,holiday
วันหยุดชดเชย,2020-07-27,holiday
วันเฉลิมฯ พระวชิรเกล้าเจ้าอยู่หัว,2020-07-28,holiday
วันแม่,2020-08-12,holiday
วันหยุดชดเชย,2020-09-04,holiday
วันหยุดชดเชย,2020-09-07,holiday
วันนวมินทรมหาราช,2020-10-13,holiday
วันปิยมหาราช,2020-10-23,holiday
วันหยุดพิเศษ (ครม.),2020-11-19,holiday
วันหยุดพิเศษ (ครม.),2020-11-20,holiday
วันพ่อ,2020-12-05,holiday
วันรัฐธรรมนูญ,2020-12-10,holiday
วันหยุดชดเชย  (ครม.),2020-12-11,holiday
คริสต์มาสอีฟ,2020-12-24,festival
คริสต์มาส,2020-12-25,festival
วันสิ้นปี,2020-12-31,holiday
วันขึ้นปีใหม่,2021-01-01,holiday
วันเด็ก,2021-01-09,festival
วันตรุษจีน,2021-02-12,holiday
วาเลนไทน์,2021-02-14,festival
วันมาฆบูชา,2021-02-26,holiday
วันจักรี,2021-04-06,holiday
สงกรานต์,2021-04-12,holiday
สงกรานต์,2021-04-13,holiday
สงกรานต์,2021-04-14,holiday
สงกรานต์,2021-04-15,holiday
วันแรงงาน (เอกชน),2021-05-01,holiday
วันฉัตรมงคล,2021-05-04,holiday
"วันพืชมงคล (ราชการ) , วันหยุดราชการ (ภาคอีสาน)",2021-05-10,holiday
วันวิสาขบูชา,2021-05-26,holiday
วันอัฏฐมีบูชา วันเฉลิมฯ พระบรมราชินี,2021-06-03,holiday
วันอาสาฬหบูชา,2021-07-24,holiday
วันเข้าพรรษา (ราชการ),2021-07-25,holiday
วันหยุดชดเชย,2021-07-26,holiday
วันเฉลิมฯ พระวชิรเกล้าเจ้าอยู่หัว,2021-07-28,holiday
วันแม่,2021-08-12,holiday
วันมหิดล (ครม.),2021-09-24,holiday
วันนวมินทรมหาราช,2021-10-13,holiday
วันหยุดชดเชย,2021-10-22,holiday
วันปิยมหาราช,2021-10-23,holiday
วันพ่อ,2021-12-05,holiday
วันหยุดชดเชย,2021-12-06,holiday
วันรัฐธรรมนูญ,2021-12-10,holiday
คริสต์มาสอีฟ,2021-12-24,festival
คริสต์มาส,2021-12-25,festival
วันสิ้นปี,2021-12-31,holiday
วันขึ้นปีใหม่,2022-01-01,holiday
วันหยุดชดเชย,2022-01-03,holiday
วันเด็ก,2022-01-08,festival
วาเลนไทน์,2022-02-14,festival
วันมาฆบูชา,2022-02-16,holiday
วันจักรี,2022-04-06,holiday
สงกรานต์,2022-04-13,holiday
สงกรานต์,2022-04-14,holiday
สงกรานต์,2022-04-15,holiday
วันแรงงาน (เอกชน),2022-05-01,holiday
วันฉัตรมงคล,2022-05-04,holiday
วันพืชมงคล (ราชการ),2022-05-13,holiday
วันวิสาขบูชา,2022-05-15,holiday
วันหยุดชดเชย,2022-05-16,holiday
วันเฉลิมฯ พระบรมราชินี,2022-06-03,holiday
วันอาสาฬหบูชา,2022-07-13,holiday
วันเข้าพรรษา (ราชการ),2022-07-14,holiday
วันหยุดพิเศษ (ครม.),2022-07-15,holiday
วันเฉลิมฯ พระวชิรเกล้าเจ้าอยู่หัว,2022-07-28,holiday
วันหยุดพิเศษ (ครม.),2022-07-29,holiday
วันแม่,2022-08-12,holiday
วันนวมินทรมหาราช,2022-10-13,holiday
วันหยุดพิเศษ (ครม.),2022-10-14,holiday
วันปิยมหาราช,2022-10-23,holiday
วันหยุดชดเชย,2022-10-24,holiday
วันพ่อ,2022-12-05,holiday
วันรัฐธรรมนูญ,2022-12-10,holiday
วันหยุดชดเชย,2022-12-12,holiday
คริสต์มาสอีฟ,2022-12-24,festival
คริสต์มาส,2022-12-25,festival
วันหยุดพิเศษ (ครม.),2022-12-30,holiday
วันสิ้นปี,2022-12-31,holiday
วันขึ้นปีใหม่,2023-01-01,holiday
วันหยุดชดเชย,2023-01-02,holiday
วันเด็ก,2023-01-14,festival
วาเลนไทน์,2023-02-14,festival
วันมาฆบูชา,2023-03-06,holiday
วันจักรี,2023-04-06,holiday
สงกรานต์,2023-04-13,holiday
สงกรานต์,2023-04-14,holiday
สงกรานต์,2023-04-15,holiday
สงกรานต์,2023-04-17,holiday
วันแรงงาน (เอกชน),2023-05-01,holiday
วันฉัตรมงคล,2023-05-04,holiday
วันหยุดพิเศษ (ครม.),2023-05-05,holiday
วันพืชมงคล (ราชการ),2023-05-17,holiday
วันวิสาขบูชา วันเฉลิมฯ พระบรมราชินี,2023-06-03,holiday
วันหยุดชดเชย,2023-06-05,holiday
วันเฉลิมฯ พระวชิรเกล้าเจ้าอยู่หัว,2023-07-28,holiday
วันหยุดพิเศษ (ครม.),2023-07-31,holiday
วันอาสาฬหบูชา,2023-08-01,holiday
วันเข้าพรรษา (ราชการ),2023-08-02,holiday
วันแม่,2023-08-12,holiday
วันหยุดชดเชย,2023-08-14,holiday
วันนวมินทรมหาราช,2023-10-13,holiday
วันปิยมหาราช,2023-10-23,holiday
วันพ่อ,2023-12-05,holiday
วันรัฐธรรมนูญ,2023-12-10,holiday
วันหยุดชดเชย,2023-12-11,holiday
คริสต์มาสอีฟ,2023-12-24,festival
คริสต์มาส,2023-12-25,festival
วันหยุดชดเชย (ครม.),2023-12-29,holiday
วันสิ้นปี,2023-12-31,holiday
วันขึ้นปีใหม่,2024-01-01,holiday
วันเด็ก,2024-01-13,festival
วาเลนไทน์,2024-02-14,festival
วันมาฆบูชา,2024-02-24,holiday
วันหยุดชดเชย,2024-02-26,holiday
วันจักรี,2024-04-06,holiday
วันหยุดชดเชย,2024-04-08,holiday
วันหยุดพิเศษ (ครม.),2024-04-12,holiday
สงกรานต์,2024-04-13,holiday
สงกรานต์,2024-04-14,holiday
สงกรานต์,2024-04-15,holiday
วันหยุดชดเชย,2024-04-16,holiday
วันแรงงาน (เอกชน),2024-05-01,holiday
วันฉัตรมงคล,2024-05-04,holiday
วันหยุดชดเชย,2024-05-06,holiday
วันพืชมงคล (ราชการ),2024-05-10,holiday
วันวิสาขบูชา,2024-05-22,holiday
วันเฉลิมฯ พระบรมราชินี,2024-06-03,holiday
วันอาสาฬหบูชา,2024-07-20,holiday
วันเข้าพรรษา (ราชการ),2024-07-21,holiday
วันหยุดชดเชย,2024-07-22,holiday
วันเฉลิมฯ พระวชิรเกล้าเจ้าอยู่หัว,2024-07-28,holiday
วันหยุดชดเชย,2024-07-29,holiday
วันแม่,2024-08-12,holiday
วันนวมินทรมหาราช,2024-10-13,holiday
วันหยุดชดเชย,2024-10-14,holiday
วันปิยมหาราช,2024-10-23,holiday
วันพ่อ,2024-12-05,holiday
วันรัฐธรรมนูญ,2024-12-10,holiday
คริสต์มาสอีฟ,2024-12-24,festival
คริสต์มาส,2024-12-25,festival
วันหยุดพิเศษ (ครม.),2024-12-30,holiday
วันสิ้นปี,2024-12-31,holiday
วันขึ้นปีใหม่,2025-01-01,holiday
วันเด็ก,2025-01-11,festival
วันมาฆบูชา,2025-02-12,holiday
วาเลนไทน์,2025-02-14,festival
วันจักรี,2025-04-06,holiday
วันหยุดชดเชย,2025-04-07,holiday
สงกรานต์,2025-04-13,holiday
สงกรานต์,2025-04-14,holiday
สงกรานต์,2025-04-15,holiday
วันหยุดชดเชย,2025-04-16,holiday
วันแรงงาน (เอกชน),2025-05-01,holiday
วันฉัตรมงคล,2025-05-04,holiday
วันหยุดชดเชย,2025-05-05,holiday
วันพืชมงคล (ราชการ),2025-05-09,holiday
วันวิสาขบูชา,2025-05-11,holiday
วันหยุดชดเชย,2025-05-12,holiday
วันหยุดพิเศษ (ครม.),2025-06-02,holiday
วันเฉลิมฯ พระบรมราชินี,2025-06-03,holiday
วันอาสาฬหบูชา,2025-07-10,holiday
วันเข้าพรรษา (ราชการ),2025-07-11,holiday
วันเฉลิมฯ พระวชิรเกล้าเจ้าอยู่หัว,2025-07-28,holiday
วันหยุดพิเศษ (ครม.),2025-08-11,holiday
วันแม่,2025-08-12,holiday
วันนวมินทรมหาราช,2025-10-13,holiday
วันปิยมหาราช,2025-10-23,holiday
วันพ่อ,2025-12-05,holiday
วันรัฐธรรมนูญ,2025-12-10,holiday
คริสต์มาสอีฟ,2025-12-24,festival
คริสต์มาส,2025-12-25,festival
วันสิ้นปี,2025-12-31,holiday
